power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,top1_correct,kendall_tau,best_target,worst_target,speedup_vs_worst
400,"[1, 2]","[1, 2]",1,1,1,1.0,9775.75,5897.93,1.6574883052189495
500,"[1, 2]","[1, 2]",1,1,1,1.0,10411.83,6641.72,1.5676406111669867
600,"[1, 2, 3]","[1, 2, 3]",1,1,1,1.0,10426.82,5814.88,1.793127287235506
700,"[1, 2, 3]","[1, 2, 3]",1,1,1,1.0,10403.32,6471.97,1.6074425561305135
800,"[2, 3, 4]","[2, 3, 4]",2,2,1,1.0,6993.72,4081.94,1.7133323860713288
900,"[2, 3, 4]","[2, 3, 4]",2,2,1,1.0,7095.5,4087.52,1.735893647003562
1000,"[2, 3, 4]","[2, 3, 4]",2,2,1,1.0,7034.65,4017.39,1.7510498109469084
1200,"[2, 3, 4]","[2, 3, 4]",2,2,1,1.0,7015.47,4131.75,1.6979415501905972
1400,"[2, 3, 4]","[2, 3, 4]",2,2,1,1.0,7032.81,4204.85,1.672547177663888
1600,"[3, 4]","[3, 4]",3,3,1,1.0,7079.92,4225.19,1.6756453555934765
1800,"[3, 4]","[3, 4]",3,3,1,1.0,7010.45,4240.41,1.6532481528908762
