total_gpu_cap,gpu_count,per_gpu_cap,benchmark,throughput_tokens_per_sec,status
400,1,400,bert,9775.75,ok
500,1,500,bert,10411.83,ok
600,1,600,bert,10426.82,ok
700,1,700,bert,10403.32,ok
400,2,200,bert,5897.93,ok
500,2,250,bert,6641.72,ok
600,2,300,bert,6946.34,ok
700,2,350,bert,6999.97,ok
800,2,400,bert,6993.72,ok
900,2,450,bert,7095.50,ok
1000,2,500,bert,7034.65,ok
1100,2,550,bert,6932.45,ok
1200,2,600,bert,7015.47,ok
1300,2,650,bert,6970.64,ok
1400,2,700,bert,7032.81,ok
600,3,200,bert,5814.88,ok
700,3,233,bert,6471.97,ok
800,3,266,bert,6844.70,ok
900,3,300,bert,7006.44,ok
1000,3,333,bert,6990.48,ok
1100,3,366,bert,7032.41,ok
1200,3,400,bert,6999.51,ok
1300,3,433,bert,6999.37,ok
1400,3,466,bert,7029.72,ok
1500,3,500,bert,7058.65,ok
1600,3,533,bert,7079.92,ok
1700,3,566,bert,6995.27,ok
1800,3,600,bert,7010.45,ok
800,4,200,bert,4081.94,ok
900,4,225,bert,4087.52,ok
1000,4,250,bert,4017.39,ok
1100,4,275,bert,4124.20,ok
1200,4,300,bert,4131.75,ok
1300,4,325,bert,4150.96,ok
1400,4,350,bert,4204.85,ok
1500,4,375,bert,4273.13,ok
1600,4,400,bert,4225.19,ok
1700,4,425,bert,4174.12,ok
1800,4,450,bert,4240.41,ok
