total_gpu_cap,gpu_count,per_gpu_cap,model,throughput_images_per_sec,status
400,1,400,vgg16,27104.09,ok
500,1,500,vgg16,26941.61,ok
600,1,600,vgg16,27096.30,ok
700,1,700,vgg16,27107.66,ok
400,2,200,vgg16,24801.11,ok
500,2,250,vgg16,25433.54,ok
600,2,300,vgg16,25435.89,ok
700,2,350,vgg16,25589.13,ok
800,2,400,vgg16,26132.79,ok
900,2,450,vgg16,25577.95,ok
1000,2,500,vgg16,26131.74,ok
1100,2,550,vgg16,25917.74,ok
1200,2,600,vgg16,26014.83,ok
1300,2,650,vgg16,25564.13,ok
1400,2,700,vgg16,25651.53,ok
600,3,200,vgg16,25926.31,ok
700,3,233,vgg16,26355.15,ok
800,3,266,vgg16,26240.25,ok
900,3,300,vgg16,25844.22,ok
1000,3,333,vgg16,26600.82,ok
1100,3,366,vgg16,26230.15,ok
1200,3,400,vgg16,26160.32,ok
1300,3,433,vgg16,26564.88,ok
1400,3,466,vgg16,26167.32,ok
1500,3,500,vgg16,26661.05,ok
1600,3,533,vgg16,26133.00,ok
1700,3,566,vgg16,26222.69,ok
1800,3,600,vgg16,26166.54,ok
800,4,200,vgg16,26040.87,ok
900,4,225,vgg16,25965.28,ok
1000,4,250,vgg16,26091.35,ok
1100,4,275,vgg16,26561.21,ok
1200,4,300,vgg16,26708.88,ok
1300,4,325,vgg16,26045.33,ok
1400,4,350,vgg16,26264.37,ok
1500,4,375,vgg16,26472.63,ok
1600,4,400,vgg16,26433.22,ok
1700,4,425,vgg16,26160.70,ok
1800,4,450,vgg16,25455.04,ok
